,Unnamed: 0_x,person_id,arrest_id_x,charge_degree,offense_category,arrest_date_event,Unnamed: 0_y,arrest_id_y,age_at_arrest,sex,race,arrest_date_univ,y,current_charge_felony,num_fel_arrests_last_year,pred_lr,pred_dt
5510,5210,1256556,2440839,misdemeanor,property,2019-01-05,254,6931649,20.413698630136988,M,White,2016-06-20,0,0.0,0,0,0
6051,5263,1800283,5381622,misdemeanor,drug,2017-08-09,771,5381622,30.75068493150685,M,Black,2017-08-09,0,0.0,0,0,0
6349,4120,3054529,7714600,felony,property,2015-11-28,344,3242748,21.95342465753425,M,Black,2018-08-01,0,0.0,0,0,0
5735,3241,1431898,5342043,misdemeanor,property,2017-08-17,859,5342043,57.12054794520548,M,Black,2017-08-17,0,0.0,0,0,0
4,1066,1788,10928764,felony,violent,2012-12-20,200,5879415,46.96164383561644,M,,2017-04-17,0,0.0,0,0,0
4700,2005,960846,5179541,misdemeanor,drug,2017-09-14,764,5919982,26.92328767123288,F,Black,2017-04-06,0,0.0,0,0,0
1871,5673,60742,5649262,misdemeanor,property,2017-06-13,737,6015800,28.254794520547943,M,Black,2017-03-13,0,0.0,0,0,0
1460,1261,49882,3596356,felony,violent,2018-06-14,230,3596356,35.18082191780822,M,Black,2018-06-14,1,0.0,1,0,0
2810,835,85446,3383366,felony,violent,2018-07-23,778,6604737,18.117808219178084,M,Black,2016-09-22,0,0.0,2,0,0
5723,6235,1412544,5893867,felony,other,2017-04-13,142,5893867,34.942465753424656,F,White,2017-04-13,1,0.0,1,0,0
3948,666,360339,3371268,misdemeanor,property,2018-07-25,89,3371268,33.865753424657534,M,Black,2018-07-25,0,0.0,0,0,0
974,2487,28329,9481166,misdemeanor,other,2014-05-06,634,6400651,48.74794520547945,F,Black,2016-11-21,0,0.0,0,0,0
1538,2828,51504,164204,misdemeanor,violent,2020-02-28,838,7041731,48.94794520547945,M,Black,2016-05-18,0,0.0,0,0,0
4188,3707,575555,6920297,misdemeanor,violent,2016-06-24,233,6920297,65.97260273972603,M,Black,2016-06-24,0,0.0,0,0,0
1325,5362,46047,3717016,felony,property,2018-05-23,334,7023735,31.136986301369863,M,White,2016-05-23,0,0.0,0,0,0
580,5664,21406,5498421,misdemeanor,other,2017-07-17,450,5590253,19.052054794520547,M,White,2017-06-26,0,0.0,0,0,0
2761,817,84199,4829553,felony,property,2017-11-13,553,7563283,22.12054794520548,M,Black,2016-01-14,0,0.0,0,0,0
844,4129,27249,6486844,misdemeanor,violent,2016-10-29,960,6478529,22.87945205479452,M,Black,2016-11-01,0,0.0,3,0,0
4156,5412,542158,9547232,misdemeanor,other,2014-04-14,216,6837789,31.87945205479452,M,mixed,2016-07-16,0,0.0,0,0,0
5968,2976,1633210,10304407,misdemeanor,property,2013-08-02,349,3775181,26.731506849315068,M,Black,2018-05-13,0,0.0,0,0,0
547,198,19918,8347546,misdemeanor,violent,2015-05-13,562,2977729,27.96712328767123,M,White,2018-09-22,0,0.0,0,0,0
750,4309,26152,8189552,misdemeanor,property,2015-07-08,671,4957370,27.528767123287672,M,Black,2017-10-24,0,0.0,1,0,0
2534,4471,79024,11999150,misdemeanor,other,2018-12-14,52,6759183,37.75616438356165,M,Black,2016-08-10,0,0.0,0,0,0
4271,6472,720250,3781896,misdemeanor,other,2018-05-11,884,5705381,31.14246575342466,M,Black,2017-05-30,0,0.0,1,0,0
1293,5051,44850,3778372,misdemeanor,drug,2018-05-11,258,3778372,22.284931506849315,M,Black,2018-05-11,0,0.0,0,0,0
6302,5594,2871747,4255805,misdemeanor,drug,2018-03-01,658,6601849,53.79726027397261,M,Black,2016-09-23,0,0.0,0,0,0
1253,3370,43195,6944245,misdemeanor,other,2016-06-16,23,2766114,20.693150684931503,M,Black,2018-11-01,0,0.0,1,0,0
587,233,21493,4902594,misdemeanor,violent,2020-08-27,358,2652491,24.136986301369863,M,White,2018-11-23,0,0.0,0,0,0
4021,2209,474178,6555725,misdemeanor,drug,2016-10-08,213,5597498,28.304109589041097,M,White,2017-06-23,0,0.0,0,0,0
4199,3758,598785,2689113,misdemeanor,property,2018-11-16,330,3477152,25.506849315068493,M,Black,2018-07-07,0,0.0,0,0,0
