,Unnamed: 0_x,person_id,arrest_id_x,charge_degree,offense_category,arrest_date_event,Unnamed: 0_y,arrest_id_y,age_at_arrest,sex,race,arrest_date_univ,y,current_charge_felony,num_fel_arrests_last_year
5101,4528,1065333,12006905,misdemeanor,property,2018-10-29,819,3940175,19.42739726027397,F,White,2018-04-14,0,0.0,0
5262,3116,1113857,6816764,misdemeanor,violent,2016-07-23,248,7004850,36.29041095890411,M,White,2016-05-29,0,0.0,0
2880,3456,91690,7825507,misdemeanor,property,2015-10-24,952,5883395,25.66575342465753,M,Black,2017-04-17,0,0.0,0
304,4391,11936,4590570,felony,drug,2017-12-26,20,7158353,60.92602739726028,M,Black,2016-05-05,0,0.0,2
4161,3733,545503,5233850,misdemeanor,drug,2017-09-07,285,3499759,45.76438356164383,M,Black,2018-07-04,0,0.0,0
6043,5285,1790946,6787346,misdemeanor,other,2016-08-02,961,7197240,51.27945205479452,M,White,2016-04-25,0,0.0,0
2809,1269,85370,3376936,felony,violent,2018-07-24,10,3376936,32.28219178082192,M,,2018-07-24,1,0.0,1
2828,1998,85806,4884278,misdemeanor,other,2017-11-02,14,6816869,30.0986301369863,M,White,2016-07-23,0,0.0,0
3308,50,184900,7157228,misdemeanor,other,2016-05-06,554,7157228,24.46849315068493,M,Black,2016-05-06,0,0.0,0
4668,1309,951591,7739809,misdemeanor,property,2015-11-19,30,5053353,26.58356164383561,M,Black,2017-10-06,0,0.0,0
3314,4438,184900,8905203,misdemeanor,other,2014-11-10,554,7157228,24.46849315068493,M,Black,2016-05-06,0,0.0,0
3131,6218,98350,1753399,misdemeanor,other,2020-05-30,183,4251991,53.772602739726025,M,Black,2018-03-02,0,0.0,1
5838,1877,1515517,4397666,felony,violent,2018-02-02,549,4397666,38.52876712328767,M,White,2018-02-02,1,0.0,2
2224,979,72764,6163578,misdemeanor,property,2017-02-03,885,6163577,22.72054794520548,F,Black,2017-02-03,0,0.0,3
4521,4871,910635,9269918,misdemeanor,other,2014-07-08,841,4973877,61.01643835616439,M,Black,2017-10-22,0,0.0,0
3340,6010,206826,6933061,misdemeanor,other,2016-06-20,782,6892253,37.24109589041096,M,Black,2016-07-03,0,0.0,0
1279,957,44159,6039470,misdemeanor,violent,2017-03-06,531,4537309,38.42465753424658,M,Black,2018-01-09,0,0.0,0
3290,5515,173830,5732441,misdemeanor,other,2017-05-25,900,5732443,28.616438356164384,M,White,2017-05-25,0,0.0,0
5043,3248,1061804,3185334,misdemeanor,drug,2018-08-13,355,7382549,28.82191780821918,M,White,2016-03-07,0,0.0,0
30,920,2326,8699807,misdemeanor,drug,2015-01-22,807,7591648,31.378082191780823,M,Black,2016-01-06,0,0.0,1
5351,5163,1127005,10819613,misdemeanor,other,2013-02-03,234,3052452,52.342465753424655,M,White,2018-09-08,0,0.0,0
2830,2004,85806,5569919,felony,property,2017-06-30,14,6816869,30.0986301369863,M,White,2016-07-23,1,0.0,0
1843,749,60332,9587969,felony,violent,2014-03-31,693,4552038,25.438356164383563,M,Black,2018-01-05,0,0.0,3
2889,3618,91690,5911828,misdemeanor,violent,2017-04-10,952,5883395,25.66575342465753,M,Black,2017-04-17,0,0.0,0
1738,4965,57158,7214360,misdemeanor,other,2016-04-19,168,3882249,29.983561643835618,M,Black,2018-04-23,0,0.0,0
5509,5206,1256556,3553329,misdemeanor,property,2018-06-22,254,6931649,20.413698630136988,M,White,2016-06-20,0,0.0,0
3315,6180,189625,3945939,misdemeanor,drug,2018-04-13,551,3945939,30.747945205479454,M,mixed,2018-04-13,0,0.0,0
1726,725,57158,10361762,misdemeanor,drug,2013-07-12,168,3882249,29.983561643835618,M,Black,2018-04-23,0,0.0,0
3577,3783,276664,3016429,misdemeanor,violent,2018-09-15,436,2797309,42.106849315068494,M,Black,2018-10-26,0,0.0,0
5278,2154,1116388,10435747,felony,property,2013-06-17,309,6585372,26.942465753424656,M,Black,2016-09-29,0,0.0,1
1541,679,51530,555470,misdemeanor,violent,2019-12-07,770,2916797,32.6958904109589,F,Black,2018-10-03,0,0.0,0
1850,2021,60332,4552038,felony,property,2018-01-05,693,4552038,25.438356164383563,M,Black,2018-01-05,0,1.0,3
999,2479,29538,2519926,misdemeanor,violent,2018-12-18,756,4502396,35.553424657534244,M,Black,2018-01-16,0,0.0,1
5106,4490,1065449,5834747,felony,other,2017-04-27,635,6236432,32.635616438356166,M,White,2017-01-13,1,0.0,0
2222,653,72764,6066618,felony,property,2017-02-27,885,6163577,22.72054794520548,F,Black,2017-02-03,1,0.0,3
4912,4405,1017719,2232458,misdemeanor,other,2019-02-13,810,3400725,22.72054794520548,M,Black,2018-07-19,0,0.0,1
745,4228,26152,6901182,misdemeanor,property,2016-06-30,671,4957370,27.528767123287672,M,Black,2017-10-24,0,0.0,1
3983,1015,411055,3520892,misdemeanor,violent,2018-06-28,532,3520892,31.063013698630137,M,Indian,2018-06-28,0,0.0,0
3038,3612,92826,7241896,misdemeanor,violent,2016-04-13,746,6037598,40.84657534246576,M,Black,2017-03-07,0,0.0,0
1246,5292,42402,9669748,misdemeanor,other,2014-03-04,476,6701778,32.106849315068494,M,White,2016-08-27,0,0.0,0
6047,5262,1798249,5296398,misdemeanor,violent,2017-08-25,760,5296398,26.197260273972603,M,Black,2017-08-25,0,0.0,0
884,4134,27382,7381538,misdemeanor,property,2016-03-07,75,7381538,26.56438356164384,M,Black,2016-03-07,0,0.0,0
5084,4522,1064748,12002220,misdemeanor,drug,2018-10-16,659,12002220,23.27671232876712,M,Black,2018-10-16,0,0.0,0
4054,293,509811,6917238,misdemeanor,violent,2016-06-24,205,6917238,51.64109589041096,F,White,2016-06-24,0,0.0,0
4126,3619,539354,4818638,misdemeanor,property,2017-11-15,365,4818638,51.27945205479452,M,Black,2017-11-15,0,0.0,0
